OSNR,Max Depth,Min Samples Split,log10(BER)
30.0,4.0,40.0,-1.5074097986032777
30.0,4.0,80.0,-1.5074097986032777
30.0,4.0,160.0,-1.5074097986032777
30.0,4.0,320.0,-1.5074097986032777
30.0,5.0,20.0,-3.4928202325584166
30.0,5.0,40.0,-3.4928202325584166
30.0,5.0,80.0,-3.4928202325584166
30.0,5.0,160.0,-3.4928202325584166
30.0,5.0,320.0,-3.4928202325584166
30.0,6.0,20.0,-3.542038255228598
30.0,6.0,40.0,-3.542038255228598
30.0,6.0,80.0,-3.542038255228598
30.0,6.0,160.0,-3.542038255228598
30.0,6.0,320.0,-3.542038255228598
30.0,7.0,20.0,-3.542038255228598
30.0,7.0,40.0,-3.542038255228598
30.0,7.0,80.0,-3.542038255228598
30.0,7.0,160.0,-3.542038255228598
30.0,7.0,320.0,-3.542038255228598
30.0,8.0,20.0,-3.542038255228598
30.0,8.0,40.0,-3.542038255228598
30.0,8.0,80.0,-3.542038255228598
30.0,8.0,160.0,-3.542038255228598
30.0,8.0,320.0,-3.542038255228598
32.0,4.0,20.0,-1.1060983804327387
32.0,4.0,40.0,-1.1060983804327387
32.0,4.0,80.0,-1.1060983804327387
32.0,4.0,160.0,-1.1060983804327387
32.0,4.0,320.0,-1.1060983804327387
32.0,5.0,20.0,-1.8046865594248835
32.0,5.0,40.0,-1.8046865594248835
32.0,5.0,80.0,-1.8046865594248835
32.0,5.0,160.0,-1.8046865594248835
32.0,5.0,320.0,-1.8046865594248835
32.0,6.0,20.0,-3.4851334038921253
32.0,6.0,40.0,-3.4851334038921253
32.0,6.0,80.0,-3.4851334038921253
32.0,6.0,160.0,-3.4851334038921253
32.0,6.0,320.0,-3.4851334038921253
32.0,7.0,20.0,-3.4775802660016795
32.0,7.0,40.0,-3.4851334038921253
32.0,7.0,80.0,-3.4851334038921253
32.0,7.0,160.0,-3.4851334038921253
32.0,7.0,320.0,-3.4851334038921253
32.0,8.0,20.0,-3.4775802660016795
32.0,8.0,40.0,-3.4851334038921253
32.0,8.0,80.0,-3.4851334038921253
32.0,8.0,160.0,-3.4851334038921253
32.0,8.0,320.0,-3.4851334038921253
35.0,4.0,20.0,-1.0303152787466177
35.0,4.0,40.0,-1.0303152787466177
35.0,4.0,80.0,-1.0303152787466177
35.0,4.0,160.0,-1.0303152787466177
35.0,4.0,320.0,-1.0303152787466177
35.0,5.0,20.0,-1.508855841499403
35.0,5.0,40.0,-1.508855841499403
35.0,5.0,80.0,-1.508855841499403
35.0,5.0,160.0,-1.508855841499403
35.0,5.0,320.0,-1.508855841499403
35.0,6.0,20.0,-3.7786102616656607
35.0,6.0,40.0,-3.7786102616656607
35.0,6.0,80.0,-3.7786102616656607
35.0,6.0,160.0,-3.7786102616656607
35.0,6.0,320.0,-3.7786102616656607
35.0,7.0,20.0,-3.7638870048449546
35.0,7.0,40.0,-3.7638870048449546
35.0,7.0,80.0,-3.7638870048449546
35.0,7.0,160.0,-3.7638870048449546
35.0,7.0,320.0,-3.7638870048449546
35.0,8.0,20.0,-3.7638870048449546
35.0,8.0,40.0,-3.7638870048449546
35.0,8.0,80.0,-3.7638870048449546
35.0,8.0,160.0,-3.7638870048449546
35.0,8.0,320.0,-3.7638870048449546
40.0,4.0,20.0,-1.0258996785115237
40.0,4.0,40.0,-1.0258996785115237
40.0,4.0,80.0,-1.0258996785115237
40.0,4.0,160.0,-1.0258996785115237
40.0,4.0,320.0,-1.0258996785115237
40.0,5.0,20.0,-1.5000931830833344
40.0,5.0,40.0,-1.5000931830833344
40.0,5.0,80.0,-1.5000931830833344
40.0,5.0,160.0,-1.5000931830833344
40.0,5.0,320.0,-1.5000931830833344
40.0,6.0,20.0,-3.7638870048449546
40.0,6.0,40.0,-3.7638870048449546
40.0,6.0,80.0,-3.7638870048449546
40.0,6.0,160.0,-3.7638870048449546
40.0,6.0,320.0,-3.7638870048449546
40.0,7.0,20.0,-3.735858281244711
40.0,7.0,40.0,-3.749646565730344
40.0,7.0,80.0,-3.749646565730344
40.0,7.0,160.0,-3.749646565730344
40.0,7.0,320.0,-3.749646565730344
40.0,8.0,20.0,-3.709529342522362
40.0,8.0,40.0,-3.7224943196867293
40.0,8.0,80.0,-3.7224943196867293
40.0,8.0,160.0,-3.7224943196867293
40.0,8.0,320.0,-3.7224943196867293
