OSNR,Epsilon,Min Samples,log10(BER)
23.0,0.2,750.0,-0.8926994072042204
23.0,0.3,300.0,-0.34286512340986736
23.0,0.3,500.0,-0.42700719879697574
23.0,0.3,630.0,-0.4641113999053005
23.0,0.3,750.0,-0.46392560298779
23.0,0.4,300.0,-0.30135724403244263
23.0,0.4,500.0,-0.30135724403244263
23.0,0.4,630.0,-0.30135724403244263
23.0,0.4,750.0,-0.3424326542631197
25.0,0.1,300.0,-2.725660377164
25.0,0.1,500.0,-0.20372123271338954
25.0,0.1,630.0,-0.20372123271338954
25.0,0.1,750.0,-0.20372123271338954
25.0,0.2,300.0,-0.5523780294441029
25.0,0.2,500.0,-0.8025378703112858
25.0,0.2,630.0,-1.0256522772770902
25.0,0.2,750.0,-2.744074622179166
25.0,0.3,300.0,-0.34400873930209547
25.0,0.3,500.0,-0.5521397021975891
25.0,0.3,630.0,-0.5522855287144278
25.0,0.3,750.0,-0.5524029368532861
25.0,0.4,300.0,-0.30148302088211404
25.0,0.4,500.0,-0.30047782455142985
25.0,0.4,630.0,-0.30026272769688894
25.0,0.4,750.0,-0.37359807114937865
27.0,0.1,300.0,-3.1138994718875734
27.0,0.1,500.0,-0.3017766419340581
27.0,0.1,630.0,-0.20353474343054234
27.0,0.1,750.0,-0.20353474343054234
27.0,0.2,300.0,-0.7240249134965879
27.0,0.2,500.0,-0.804409134968259
27.0,0.2,630.0,-3.1392571963060147
27.0,0.2,750.0,-3.140633725134818
27.0,0.3,300.0,-0.6602936450050964
27.0,0.3,500.0,-0.6598969519764538
27.0,0.3,630.0,-0.7239403967697263
27.0,0.3,750.0,-0.7239351150203674
27.0,0.4,300.0,-0.3017766419340581
27.0,0.4,500.0,-0.3287396900264131
27.0,0.4,630.0,-0.4087253390370375
27.0,0.4,750.0,-0.6602206627685187
30.0,0.1,300.0,-3.355643050220869
30.0,0.1,500.0,-0.42617888785407937
30.0,0.1,630.0,-0.3011476968635261
30.0,0.1,750.0,-0.20388547334538437
30.0,0.2,300.0,-0.8996014038290416
30.0,0.2,500.0,-0.899577659996593
30.0,0.2,630.0,-0.8995222627686318
30.0,0.2,750.0,-0.8994431361273927
30.0,0.3,300.0,-0.8048925325082753
30.0,0.3,500.0,-0.8996805593138784
30.0,0.3,630.0,-0.8996726431161456
30.0,0.3,750.0,-0.8996805593138784
30.0,0.4,300.0,-0.37455860503657046
30.0,0.4,500.0,-0.3913441262459427
30.0,0.4,630.0,-0.6295103812854522
30.0,0.4,750.0,-0.804847986547355
32.0,0.1,300.0,-3.459967331631249
32.0,0.1,500.0,-3.3934316111102687
32.0,0.1,630.0,-0.30052763067806026
32.0,0.1,750.0,-0.20346463142409493
32.0,0.2,300.0,-3.5385737338068557
32.0,0.2,500.0,-3.4928162432461805
32.0,0.2,630.0,-3.486655934541362
32.0,0.2,750.0,-3.4716269441762426
32.0,0.3,300.0,-3.589726256254237
32.0,0.3,500.0,-3.5633973175318876
32.0,0.3,630.0,-3.5525844482496702
32.0,0.3,750.0,-3.5455225937621835
32.0,0.4,300.0,-0.26252245474396346
32.0,0.4,500.0,-0.3908483478302887
32.0,0.4,630.0,-0.9004491171380736
32.0,0.4,750.0,-3.5858658354409987
35.0,0.1,300.0,-3.4836082414593568
35.0,0.1,500.0,-3.4430446265151846
35.0,0.1,630.0,-0.4236213823687648
35.0,0.1,750.0,-0.30075083226688853
35.0,0.2,300.0,-1.0306215341785232
35.0,0.2,500.0,-3.5250009266175817
35.0,0.2,630.0,-3.515092637957333
35.0,0.2,750.0,-3.502223711768012
35.0,0.3,300.0,-0.6639262812915359
35.0,0.3,500.0,-0.6638848824561865
35.0,0.3,630.0,-1.0306643439552308
35.0,0.3,750.0,-1.0306643439552308
35.0,0.4,300.0,-0.407716880283409
35.0,0.4,500.0,-0.6007932334588878
